source,company,title,link,experience_years,education,salary,tech_stack,qualifications,preferred,responsibilities,benefits
사람인,(주)티오더,[t'order Inc.]Data Engineer모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52698484,,,,,,,,
사람인,(주)제로,Data Engineer(커머스 데이터 / 검색),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52684579,,,,,,,,
사람인,(주)모두싸인,[모두싸인]Data Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52533069,,,,,,,,
사람인,리쿠르트퍼스트코리아,[물류 SaaS] 시니어Data Engineer채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52744518,,,,,,,,
사람인,(주)야놀자,[Yanolja NEXT]Data Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52677546,,,,,,,,
사람인,(주)폴리인스퍼레이션,[폴리인스퍼레이션]Data Engineer채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52441995,,,,,,,,
사람인,프로페셔날핸즈인핸즈코리아(주),Azure and OpenAIData engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52717751,,,,,,,,
사람인,뉴로퓨전(주),[전문연구요원] 금융AI 스타트업Data Engineer채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52297672,,,,,,,,
사람인,솔트웨어(주),Data Engineer부문 채용 공고 ( Solutions Architect ),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52638264,,,,,,,,
사람인,스푼랩스,Data Engineer(5년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52689572,,,,,,,,
사람인,메가존클라우드(주),Data Engineer(데이터 거버넌스 전문가) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52580837,,,,,,,,
사람인,씨제이올리브영(주),[CJ올리브영] Data Analytics Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52764808,,,,,,,,
사람인,토스증권(주),Data Analytics Engineer(Mart),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52737044,,,,,,,,
사람인,토스증권(주),Data Engineer(AI),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52684481,,,,,,,,
