source,title,company,link,conditions,sector,raw_text,tech_stack
사람인,NICE 지니데이타(주)데이터 엔지니어모집,나이스지니데이타주식회사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52510607&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울영등포구', '경력3년↑', '대졸↑', '정규직']","데이터엔지니어,RDBMS,빅데이터,Python,Linux외수정일 26/01/08","IT개발·데이터 스크랩 급상승 NICE 지니데이타(주) 데이터 엔지니어 모집 스크랩 ~ 02/06(금) 입사지원 서울 영등포구 경력3년↑ 대졸↑ 정규직 데이터엔지니어 , RDBMS , 빅데이터 , Python , Linux 외 수정일 26/01/08 나이스지니데이타주식회사 관심기업 등록 관심기업 등록 NICE 기업정보 공고 모아보기 +","['Linux', 'Python']"
사람인,(주)에스비티글로벌 데이터엔지니어 및 DW 전문가 모집,(주)에스비티글로벌,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52563104&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['경기성남시 분당구', '경력 5~20년', '학력무관', '정규직']","데이터엔지니어,데이터분석가,데이터 사이언티스트,개발PM,SI·시스템통합외등록일 25/12/15","연봉상승률 10% 이상 (주)에스비티글로벌 데이터엔지니어 및 DW 전문가 모집 스크랩 ~ 01/14(수) 입사지원 경기 성남시 분당구 경력 5~20년 학력무관 정규직 데이터엔지니어 , 데이터분석가 , 데이터 사이언티스트 , 개발PM , SI·시스템통합 외 등록일 25/12/15 (주)에스비티글로벌 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
사람인,[PTKOREA]데이터 엔지니어,펑타이그레이터차이나(유)영업소,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52675693&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력 3~11년', '대졸↑', '정규직']","데이터엔지니어,광고대행사등록일 25/12/29","워라밸 [PTKOREA] 데이터 엔지니어 스크랩 ~ 01/31(토) 홈페이지 지원 서울 강남구 경력 3~11년 대졸↑ 정규직 데이터엔지니어 , 광고대행사 등록일 25/12/29 펑타이그레이터차이나(유)영업소 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
사람인,[정규직]데이터 엔지니어(3년 이상 경력자),(주)퀸텟시스템즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52569680&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울영등포구', '경력3년↑', '초대졸↑', '정규직']","Python,SQL,ETL,AWS,Azure외등록일 25/12/15","프리한 복장 [정규직] 데이터 엔지니어 (3년 이상 경력자) 스크랩 ~ 01/14(수) 입사지원 서울 영등포구 경력3년↑ 초대졸↑ 정규직 Python , SQL , ETL , AWS , Azure 외 등록일 25/12/15 (주)퀸텟시스템즈 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +","['AWS', 'SQL', 'Python', 'Azure']"
사람인,[그리드위즈]데이터 엔지니어경력 채용,(주)그리드위즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52688197&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['경기성남시 분당구', '경력5년↑', '대졸↑', '정규직']","Python,AI(인공지능),SQL,머신러닝,AI(인공지능)외등록일 25/12/30","500억 이상 투자유치 [그리드위즈] 데이터 엔지니어 경력 채용 스크랩 ~ 01/29(목) 입사지원 경기 성남시 분당구 경력5년↑ 대졸↑ 정규직 Python , AI(인공지능) , SQL , 머신러닝 , AI(인공지능) 외 등록일 25/12/30 (주)그리드위즈 관심기업 등록 관심기업 등록 그리드위즈 기업정보 공고 모아보기 +","['SQL', 'Python']"
사람인,빅데이터 솔루션데이터 엔지니어(경력),(주)로이드케이,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52647842&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['경기성남시 수정구', '경력 3~20년', '대졸↑', '정규직']",데이터엔지니어수정일 25/12/24,합격 시 50만원 빅데이터 솔루션 데이터 엔지니어 (경력) 스크랩 ~ 01/22(목) 입사지원 경기 성남시 수정구 경력 3~20년 대졸↑ 정규직 데이터엔지니어 수정일 25/12/24 (주)로이드케이 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +,[]
사람인,(주)와이즈에이아이데이터 엔지니어를 채용합니다.,(주)와이즈에이아이,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52450583&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['경기성남시 분당구', '경력7년↑', '대졸↑', '정규직']","데이터엔지니어,소프트웨어개발수정일 25/12/02","급성장중 (주)와이즈에이아이 데이터 엔지니어 를 채용합니다. 스크랩 상시채용 입사지원 경기 성남시 분당구 경력7년↑ 대졸↑ 정규직 데이터엔지니어 , 소프트웨어개발 수정일 25/12/02 (주)와이즈에이아이 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
사람인,[Catalyst] AI데이터 엔지니어,콘센트릭스서비스코리아(유),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52648759&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력 5~12년', '학력무관', '정규직']","데이터엔지니어,데이터분석가,데이터라벨링,데이터 사이언티스트,IT컨설팅수정일 25/12/31","[Catalyst] AI 데이터 엔지니어 스크랩 ~ 01/31(토) 입사지원 서울 강남구 경력 5~12년 학력무관 정규직 데이터엔지니어 , 데이터분석가 , 데이터라벨링 , 데이터 사이언티스트 , IT컨설팅 수정일 25/12/31 콘센트릭스서비스코리아(유) 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
사람인,[경력]데이터 엔지니어포지션 채용,(주)올라핀테크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52474273&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력5년↑', '학력무관', '정규직']","데이터엔지니어,데이터분석가,Python,솔루션,정보통신외수정일 25/12/29","급성장중 [경력] 데이터 엔지니어 포지션 채용 스크랩 채용시 홈페이지 지원 서울 강남구 경력5년↑ 학력무관 정규직 데이터엔지니어 , 데이터분석가 , Python , 솔루션 , 정보통신 외 수정일 25/12/29 (주)올라핀테크 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",['Python']
사람인,데이터 엔지니어/ 데이터 아키텍터 개발자 채용,(주)페르소나에이아이,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52606766&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력 5~15년', '학력무관', '정규직']","백엔드/서버개발,AI(인공지능),네트워크,웹개발,프론트엔드외수정일 25/12/31","급성장중 데이터 엔지니어 / 데이터 아키텍터 개발자 채용 스크랩 ~ 02/16(월) 입사지원 서울 강남구 경력 5~15년 학력무관 정규직 백엔드/서버개발 , AI(인공지능) , 네트워크 , 웹개발 , 프론트엔드 외 수정일 25/12/31 (주)페르소나에이아이 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
